Lap,Time,Distance,Heart Rate,Longitude,Latitude,Altitude,Local,images
1,18:41:00,66.85,108,136.9878663,35.1591508,98.5,9:41:00,0001.jpg
1,18:41:01,66.85,108,136.9878665,35.1591496,98.5,9:41:01,0002.jpg
1,18:41:02,66.85,109,136.9878669,35.1591483,98.1,9:41:02,0003.jpg
1,18:41:03,66.85,109,136.9878672,35.1591465,97.8,9:41:03,0004.jpg
1,18:41:04,66.85,109,136.9878677,35.159144,97.5,9:41:04,0005.jpg
1,18:41:05,66.85,109,136.9878684,35.1591401,97,9:41:05,0006.jpg
1,18:41:06,66.85,109,136.9878697,35.1591338,96.8,9:41:06,0007.jpg
1,18:41:07,66.85,110,136.9878705,35.15913,96.5,9:41:07,0008.jpg
1,18:41:08,67.12,110,136.9878711,35.159128,96.4,9:41:08,0009.jpg
1,18:41:09,67.67,110,136.9878714,35.1591271,95.5,9:41:09,0010.jpg
1,18:41:10,68.42,110,136.9878718,35.1591269,94.5,9:41:10,0011.jpg
1,18:41:11,69.26,110,136.9878721,35.159127,93.8,9:41:11,0012.jpg
1,18:41:12,70.35,105,136.9878726,35.1591277,93.3,9:41:12,0013.jpg
1,18:41:13,71.29,105,136.9878734,35.1591291,93,9:41:13,0014.jpg
1,18:41:14,72.03,105,136.9878746,35.1591316,93,9:41:14,0015.jpg
1,18:41:15,72.6,105,136.9878767,35.1591358,93.1,9:41:15,0016.jpg
1,18:41:16,72.6,105,136.9878794,35.1591419,93.19,9:41:16,0017.jpg
1,18:41:17,72.6,111,136.987883,35.1591496,93.6,9:41:17,0018.jpg
1,18:41:18,73.35,111,136.9878869,35.1591586,94,9:41:18,0019.jpg
1,18:41:19,73.88,111,136.9878913,35.1591685,94.3,9:41:19,0020.jpg
1,18:41:20,74.67,111,136.9878961,35.1591793,94.8,9:41:20,0021.jpg
1,18:41:21,75.71,111,136.9879011,35.1591913,95.3,9:41:21,0022.jpg
1,18:41:22,77,111,136.9879065,35.1592039,95.2,9:41:22,0023.jpg
1,18:41:23,78.29,111,136.9879122,35.1592171,95.5,9:41:23,0024.jpg
1,18:41:24,79.53,111,136.9879181,35.1592305,95.3,9:41:24,0025.jpg
1,18:41:25,80.69,111,136.987924,35.1592439,94.9,9:41:25,0026.jpg
1,18:41:26,81.88,111,136.9879297,35.1592572,94.99,9:41:26,0027.jpg
1,18:41:27,83.02,117,136.9879354,35.1592703,95,9:41:27,0028.jpg
1,18:41:28,84.16,117,136.9879411,35.1592834,94.8,9:41:28,0029.jpg
1,18:41:29,85.31,117,136.9879473,35.1592966,94.5,9:41:29,0030.jpg
1,18:41:30,86.45,117,136.9879532,35.1593097,94.3,9:41:30,0031.jpg
1,18:41:31,87.54,117,136.987959,35.1593229,93.8,9:41:31,0032.jpg
1,18:41:32,88.67,118,136.9879651,35.1593363,93.5,9:41:32,0033.jpg
1,18:41:33,89.85,118,136.9879717,35.1593503,93.3,9:41:33,0034.jpg
1,18:41:34,91.06,118,136.9879782,35.1593642,93.3,9:41:34,0035.jpg
1,18:41:35,92.28,118,136.9879848,35.1593784,92.8,9:41:35,0036.jpg
1,18:41:36,93.52,118,136.9879913,35.1593922,92.8,9:41:36,0037.jpg
1,18:41:37,94.76,117,136.9879973,35.1594058,92.5,9:41:37,0038.jpg
1,18:41:38,96.03,117,136.9880033,35.1594187,92.3,9:41:38,0039.jpg
1,18:41:39,97.24,117,136.9880091,35.1594313,92.1,9:41:39,0040.jpg
1,18:41:40,98.49,117,136.9880151,35.159444,92,9:41:40,0041.jpg
1,18:41:41,99.77,117,136.9880216,35.1594564,91.7,9:41:41,0042.jpg
1,18:41:42,101.05,117,136.9880282,35.1594683,91.6,9:41:42,0043.jpg
1,18:41:43,102.35,117,136.9880348,35.1594799,91.5,9:41:43,0044.jpg
1,18:41:44,103.65,117,136.9880413,35.1594909,91.3,9:41:44,0045.jpg
1,18:41:45,104.97,117,136.9880478,35.1595018,91.1,9:41:45,0046.jpg
1,18:41:46,106.29,117,136.9880542,35.1595129,91,9:41:46,0047.jpg
1,18:41:47,107.62,121,136.9880604,35.1595237,90.9,9:41:47,0048.jpg
1,18:41:48,108.97,121,136.9880661,35.1595348,90.7,9:41:48,0049.jpg
1,18:41:49,110.33,121,136.9880719,35.1595459,90.4,9:41:49,0050.jpg
1,18:41:50,111.67,121,136.9880776,35.1595572,90.2,9:41:50,0051.jpg
1,18:41:51,113.03,121,136.9880834,35.1595687,90,9:41:51,0052.jpg
1,18:41:52,114.39,119,136.9880892,35.1595801,89.7,9:41:52,0053.jpg
1,18:41:53,115.75,119,136.9880947,35.1595918,89.5,9:41:53,0054.jpg
1,18:41:54,117.13,119,136.9881003,35.1596035,89.4,9:41:54,0055.jpg
1,18:41:55,118.5,119,136.9881059,35.1596152,89.1,9:41:55,0056.jpg
1,18:41:56,119.86,119,136.9881119,35.159627,89.1,9:41:56,0057.jpg
1,18:41:57,121.24,118,136.9881175,35.1596389,89,9:41:57,0058.jpg
1,18:41:58,122.61,118,136.9881228,35.1596506,89,9:41:58,0059.jpg
1,18:41:59,123.99,118,136.9881277,35.159662,88.9,9:41:59,0060.jpg
1,18:42:00,125.35,118,136.9881316,35.1596731,88.8,9:42:00,0061.jpg
1,18:42:01,126.71,118,136.9881343,35.1596842,88.6,9:42:01,0062.jpg
1,18:42:02,128.03,118,136.9881351,35.159695,88.5,9:42:02,0063.jpg
1,18:42:03,129.34,118,136.9881339,35.1597055,88.3,9:42:03,0064.jpg
1,18:42:04,130.66,118,136.9881303,35.1597153,88.1,9:42:04,0065.jpg
1,18:42:05,131.99,118,136.988124,35.1597245,88.19,9:42:05,0066.jpg
1,18:42:06,133.32,118,136.9881154,35.1597326,88.19,9:42:06,0067.jpg
1,18:42:07,134.67,118,136.9881048,35.1597397,88.29,9:42:07,0068.jpg
1,18:42:08,136,118,136.9880929,35.1597461,88.29,9:42:08,0069.jpg
1,18:42:09,137.34,118,136.9880801,35.1597518,88.29,9:42:09,0070.jpg
1,18:42:10,138.66,118,136.9880667,35.1597571,88.49,9:42:10,0071.jpg
1,18:42:11,139.98,118,136.9880527,35.1597625,88.29,9:42:11,0072.jpg
1,18:42:12,141.3,120,136.9880387,35.1597682,88.3,9:42:12,0073.jpg
1,18:42:13,142.64,120,136.9880252,35.1597741,88.1,9:42:13,0074.jpg
1,18:42:14,143.98,120,136.9880122,35.15978,88.1,9:42:14,0075.jpg
1,18:42:15,145.33,120,136.9879993,35.159786,88,9:42:15,0076.jpg
1,18:42:16,146.69,119,136.9879863,35.1597919,87.9,9:42:16,0077.jpg
1,18:42:17,148.05,121,136.9879733,35.1597979,88,9:42:17,0078.jpg
1,18:42:18,149.4,121,136.9879603,35.1598037,88,9:42:18,0079.jpg
1,18:42:19,150.74,121,136.9879471,35.1598094,88,9:42:19,0080.jpg
1,18:42:20,152.08,121,136.9879335,35.1598148,88.1,9:42:20,0081.jpg
1,18:42:21,153.42,121,136.9879196,35.1598202,87.9,9:42:21,0082.jpg
1,18:42:22,154.75,123,136.9879056,35.1598258,88,9:42:22,0083.jpg
1,18:42:23,156.1,123,136.9878919,35.1598315,88,9:42:23,0084.jpg
1,18:42:24,157.46,123,136.9878782,35.1598372,88.1,9:42:24,0085.jpg
1,18:42:25,158.83,123,136.9878645,35.1598431,88,9:42:25,0086.jpg
1,18:42:26,160.21,123,136.9878508,35.159849,87.8,9:42:26,0087.jpg
1,18:42:27,161.59,122,136.9878372,35.1598547,87.7,9:42:27,0088.jpg
1,18:42:28,162.97,122,136.9878238,35.1598603,87.7,9:42:28,0089.jpg
1,18:42:29,164.35,122,136.9878101,35.159866,87.5,9:42:29,0090.jpg
1,18:42:30,165.74,122,136.9877965,35.1598719,87.3,9:42:30,0091.jpg
1,18:42:31,167.12,122,136.9877831,35.1598777,87.2,9:42:31,0092.jpg
1,18:42:32,168.49,121,136.9877694,35.1598828,87.3,9:42:32,0093.jpg
1,18:42:33,169.87,121,136.9877553,35.1598878,87.2,9:42:33,0094.jpg
1,18:42:34,171.24,121,136.9877404,35.1598927,87,9:42:34,0095.jpg
1,18:42:35,172.64,121,136.9877251,35.1598974,87.2,9:42:35,0096.jpg
1,18:42:36,174.03,121,136.9877105,35.159902,87.1,9:42:36,0097.jpg
1,18:42:37,175.42,122,136.9876963,35.1599063,87.1,9:42:37,0098.jpg
1,18:42:38,176.84,122,136.9876828,35.1599106,87.1,9:42:38,0099.jpg
1,18:42:39,178.28,122,136.9876702,35.1599145,87,9:42:39,0100.jpg
1,18:42:40,179.73,122,136.9876585,35.159918,87,9:42:40,0101.jpg
1,18:42:41,181.22,122,136.9876472,35.1599203,87,9:42:41,0102.jpg
1,18:42:42,182.72,125,136.9876366,35.1599218,87.1,9:42:42,0103.jpg
1,18:42:43,184.23,125,136.9876271,35.1599215,87.1,9:42:43,0104.jpg
1,18:42:44,185.74,125,136.9876194,35.1599195,87.3,9:42:44,0105.jpg
1,18:42:45,187.21,125,136.9876138,35.1599154,87.2,9:42:45,0106.jpg
1,18:42:46,188.65,125,136.9876103,35.1599089,87.1,9:42:46,0107.jpg
1,18:42:47,190.08,123,136.9876095,35.1599005,87,9:42:47,0108.jpg
1,18:42:48,191.49,123,136.9876122,35.159891,87.1,9:42:48,0109.jpg
1,18:42:49,192.89,123,136.9876186,35.1598814,86.8,9:42:49,0110.jpg
1,18:42:50,194.28,123,136.9876279,35.1598729,86.8,9:42:50,0111.jpg
1,18:42:51,195.67,123,136.9876395,35.1598656,86.6,9:42:51,0112.jpg
1,18:42:52,197.08,121,136.9876529,35.1598594,86.3,9:42:52,0113.jpg
1,18:42:53,198.49,121,136.9876668,35.1598536,86.6,9:42:53,0114.jpg
1,18:42:54,199.93,121,136.987681,35.1598474,86.6,9:42:54,0115.jpg
1,18:42:55,201.39,120,136.987695,35.1598405,86.69,9:42:55,0116.jpg
